rating,date,review,reviewer
10,2022-12-15 17:14,CG에 돈 많이 썼다는건 개구라임. 다만 직접 판도라가서 수중촬영하긴 빡쎘을거 같음. 나비족 섭외에도 돈 많이 썼겠드만...,arch****
10,2022-12-14 11:33,말이안되네 ㅋㅋㅋ 어케만든겨,dmse****
10,2022-12-14 13:23,미래에도 영화관이 있어야 되는 이유를 보여준 영화.,ydg3****
10,2022-12-14 10:51,제일궁금했던건 2009년도에도 대단했던 CG기술이 2022년도에 얼마나 대단해졌을까..?13년의 기다림이 아깝지 않았습니다.,hwle****
10,2022-12-14 13:08,믿고보는 아바타 아쿠아리움에 있는줄..3시간이 어떻게 간건지 모르겠어요,nice****
10,2022-12-14 09:30,진짜 올해 최고의 영화네 제임스 카메론 그는 도대체... 첫회차는 그냥 2D로 봤는데 영상미가 뛰어나서 3D로 볼만하겠다.. 3시간이 짧게 느껴진다... 무조건 극장에서 봐야하고 큰 화면에서 봐야한다,fowe****
10,2022-12-14 12:47,찢었다3탄 기다릴고여,yawo****
10,2022-12-14 13:38,카메룬 영감…사랑해…,craz****
10,2022-12-14 12:35,영상미 하나로 10점 아맥 3d로 보세요 꼭 이토록 눈이 즐거운 영화는 얼마만인가....,hb44****
10,2022-12-14 13:56,이영화 미쳤다! 13년 기다린 보람이 있습니다!,ljsk****
10,2022-12-14 09:35,알바인지 관종인지 모르겠지만지금 평 다는 애들은 뇌가 비었다는것 만큼은 잘 알겠네요.(조조로 봐도 아직 영화 중반도 안갔음),over****
10,2022-12-14 09:23,3시간짜리 인데 본것마냥 벌써 댓글 다는건 뭔데ㅋㅋㅋㅋ,dbtk****
10,2022-12-15 09:15,살면서 영화관에서 본 영화중에 가장 돈값함,skym****
10,2022-12-14 11:25,지금 보고 나오는데 진짜 3시간 동안 감탄만 나옴현대 기술력이 이정도까지 왔구나 싶고 3시간이 짧게 느껴짐역대급 영화라는 말이 맞을듯,dspy****
10,2022-12-14 11:25,이 영화에 재미라는 단어는 어울리지 않는다.이 영화는 놀랍고 환상적이며 지능적이고 따뜻한 영화다.,bizk****
10,2022-12-14 10:46,아지메들 부업으로 평점 깍기 알바하냐ㅋㅋ,oh1y****
10,2022-12-14 11:25,제임스 카메론 감독과 같은 시대에 살고 있는건 어찌보면 행운이다 항상 몸건강하시고 오래오래 사세요 감사합니다 ㅎ,mone****
10,2022-12-14 10:45,아니 별테하지말라고....재밌다고 하면서 별점 ㅂㅅ같이 남기는 사람들은 뭐냐 그리고 여성분들 왜 이렇게 비만죽임?  영화는 영화라고 생각하고..,eyes****
8,2022-12-14 20:31,"또 한 번의 영상 혁명과 기술적 진보, 서사는 답습과 퇴보.",nimu****
10,2022-12-14 11:22,단순히 보는걸로 끝이 아니라 직접 체험을 하게 되었습니다 올해 이 영화로 마무리 할수 있게 되어서 감사합니다,wnsd****
10,2022-12-18 09:52,2만원에 외계 행성 여행이면 저렴하네요,adio****
10,2022-12-14 12:11,평점 개판났네..최소 9.5점짜리입니다,taey****
8,2022-12-15 11:41,영화본다고 생각하지말고 외계 아쿠아리움 구경한다고 생각하고 보세요,appl****
10,2022-12-18 16:09,왜 자꾸 cg가 대단하다고 뻥치는지 모르겠다이건 그냥 판도라 행성 가서 찍은거잖아,una5****
10,2022-12-14 13:07,영상미 하나만으로도 충분히 볼 가치가있다,riti****
9,2022-12-17 11:19,"자식들은 말 안듣고, 툴쿤이 제일 말 잘 듣네",norm****
10,2022-12-14 19:46,스토리가 새로운 영화는 아닙니다. 하지만 아바타 세계관에 집중할 수 있도록 스토리를 만들었으며 보여지는 장면 하나하나가 너무 알차고 경이롭습니다.   새로운 재미보다 아바타 세상에 체험한다는 시점으로 영화를 관람하면 더 재밌을 것 같습니다.,gosi****
10,2022-12-14 14:12,CG미쳤다 바다 물멍 잘하고 갑니다,makz****
10,2022-12-14 13:43,3D 안경 착용하고 3시간 길이의 영화를 보는 건  버겁지만 바닷 속 시각적인 디테일과 환경 보존에 대한 메세지를 잘 전달한 영화.,ghks****
10,2022-12-18 18:16,역시 타노스가 옳았고 인간은 정도를 모른다,kshy****
10,2022-12-14 14:21,"영화관의 존재 이유를 상기시키는 영화. 영화가 관객에게 주는 가치와 즐거움이 다양할텐데, 아바타2는 영화관에서 즐길 수 있는 영화적 체험 측면에서 역대 최고라고 할 수 있음",econ****
10,2022-12-14 20:15,영상미 좋고 3시간이 별로 안지루함 13년기다린 보람이 있음,wink****
6,2022-12-18 07:26,마지막 전투에서 바다부족은 어디갔는지 보이지도 않고.. 대령은 왜 살려주는건지 이해도 안되고..영상미만 좋으면 뭐하나..,cjdf****
10,2022-12-18 00:56,인간 혐오 생기게 하는 영화다잉 ㅠㅠ고래 죽이지마셈 ㅠㅠ,didw****
10,2022-12-14 23:27,스토리가 별로라고해서 기대안하고 갔는데이건 정말 영화관에서 보지않으면 후회한다생각이 들정도로 장면장면의 디테일에압도당했습니다. 아이맥스 3D가격이전혀 아깝지않았고 아쿠아리움이나동물원에 갈바에 아바타를 3D로보는게나을거같다라는 생각이들정도로 좋았습니다저는 스토리도 좋았습니다,jjs2****
6,2022-12-14 18:36,"가상의 세계를 완벽하게 구현하려는 야심에는 박수가 아깝지 않지만, 정교한 CG와 웅장한 분위기에 비해 다소 빈약해 보이는 이야기.",jsho****
5,2022-12-16 21:58,영화보는 내내 자식들 때문에 고구마 먹는 기분이었다. 아이들은 계속 사고 치고 인질에 또 인질에.. 영화를 왜 이렇게 만들었지? 영상미 좋은건 인정 하지만 이런 스토리면  카메론 감독도 한물갔다,oyes****
8,2022-12-14 19:01,그냥 지나가는 스토리요.영상미 그래픽은 좋은데 아바타 1에 비하면 좀... 아쉽습니다.,bios****
8,2022-12-15 16:59,기대가 컷던탓인지 눈은즐거웟으나스토리가 아쉬움,7604****
6,2022-12-15 03:09,1편에선 수천명이 모여서 싸웠었는데 2편은 고작해야 50명vs50명? 액션은 축소되고 제이크 설리는 고구마 먹은짓만 골라 한다. CG는 감탄이 나왔지만 1편만큼 신선하고 충격적이진 않았다. CG에 부은 돈 5%라도 시나리오에 투자 좀 하지...,asdf****
10,2022-12-14 14:26,아들이고 아버지며 형제였던 영화. 인생영화.,5m_k****
10,2022-12-16 13:41,재밋음. 근데 중간에 싸우던 놈들 다 어디가고 설리가족만 남음?? 장례식때도 보니까 첫째말곤 전사자도 없는거 같더만. 그리고 휘파람 불면 나오는 소환수들은 왜 위급할땐 안부르고 익사 직전까지 가는거고 애초에 불붙은거때문에 배로 다시 간건데 그냥 헤엄대충쳐서 나오면 되는데 왜 굳이 배로 드가냐? 그냥 영화는 영화로 보기엔 너무 크리티컬한데 궁굼해서 댓글달아봄.,lead****
7,2022-12-15 18:00,숨 참을때 같이 숨 들이마신 사람 손,zola****
10,2022-12-14 13:00,여전히 10점을 받아 마땅하지만 1편이 더 재미있다,sanh****
10,2022-12-14 20:37,관람이 아니라 체험 그 자체. 초당 3억원 들인 영상미에 경이롭고 황홀했다. n차 뛰어야지...,uh_e****
10,2022-12-16 11:30,3D 안경을 끼고 영화 시작하는 순간 이미 가슴이 웅장해짐.끝없는 영상미와 디테일에 정신없이 황홀하게 봤음 .이거 3시간 길다고 징징거리고 스토리 재미 없다고 하는 사람들은요새 틱톡 이런 쇼츠 영상에 너무 길들여져서 매순간 강렬한 자극을 주지 않으면 반응하지 못하는 안타까운 사람들이라고 생각함...3시간 물론 긴 시간이지만 당연 기승전결 서사가 있고 영화가 아닌 하나의 체험활동으로 경험될만큼 좋았음. 츄라우미 수족관 안가도 되겠더라만 ㅋㅋㅋㅋ또 보러 갈 것임!  *현시점 이런 스케일의 영화에 자극을 못받으면 앞으로 대체 어떤 거에 받을 수 있는가?,dlrm****
9,2022-12-17 14:28,눈이 호강하는 해산물 다큐멘터리,enne****
10,2022-12-15 05:40,카메론의 야심을 꽉꽉 눌러담은 192분. 스토리가 탄탄한 밀도높은 영화는 아니지만 영화 역사상 가장 화려한 영상미를 선사하며 당신의 눈을 5살 아이처럼 반짝이게 만들어주기 충분합니다.,alst****
8,2022-12-15 14:35,sf 내셔널지오그래픽,rhfh****
9,2022-12-14 21:28,2편 기다리느라 힘들었음. 5편 개봉할 때 까지 건강해야지...,zuku****
10,2022-12-17 23:45,왜 지금 평점이 8.9인지 이해불가…. 내가 아바타가 된거마냥 착각하게 만드는 영상미.. 물에 들어갈때마다 괜히 숨막힐정도로 정신이 혼미해짐 그졍도로 대단한 영화입니다 미쳤어요 주말 포디엑스 자리 빡세서 예매만 거의 이주정도를 쌔빠지게 본 보람이 있습니다 늙어죽을때까지볼게요 아바타 오래해줘요ㅠㅠ,zsq6****
10,2022-12-15 21:49,2009년에도 이게 말이되나.. 했는데 13년이 지난 지금도 이게 말이되나..하는 영화,hyun****
7,2022-12-15 12:57,1편을 보고 너무 경이로웠고 이번편도 기대가 너무 컸던 탓일까.. 화려한 영상미와 그래픽에비해 각본이 조금 부실한 느낌.. 다음편에서 완결성 지어주길 다시금 기대해봄,rty7****
10,2022-12-14 14:06,될 수 있는대로 큰 스크린에서 보길바라요,ferr****
1,2022-12-20 00:08,그냥 내내 답답함과 지루함 스토리개연성 제로 진짜 그냥 영상보는거 밖에 없음 이게 왜 평점이 높은지 이해가 1도 안됨,lbc0****
10,2022-12-16 04:27,누가 어떤 평을 하든 영화관에서 봐야 후회가 없을 영화라는데는 이견이 없을듯,hkhs****
9,2022-12-14 17:42,스토리는 평범하지만 장면은 경이롭고 또 경이롭다.,whit****
2,2022-12-20 03:29,영상미 좋긴한데..보다보면 감흥 없어짐. 스토리 허접..상영시간은끔찍,kjdl****
6,2022-12-15 09:03,"아바타 물의길 너무 기대했는데, 뻔한 스토리 전개에 생각보다 지루했다. 영상미는 정말 눈이 휘둥그레 지지만.. 스케일이 너무 작음 1편에 못미침",nade****
7,2022-12-14 17:42,지루하지만 볼거리는 많아요,mail****
10,2022-12-14 19:42,뭐하는 거야 3편을 보여줘!!!,pkng****
6,2022-12-23 23:39,영상미로 3시간을 견디기에는 힘들었네요,bn00****
4,2022-12-24 02:47,영상미 좋아하시는 분들은 봐도 괜찮을듯!스토리를 중요시 하는 분들은 글쎄요,blue****
10,2022-12-17 11:47,인간이 죽는게 이렇게 통쾌하긴 처음이다,thse****
10,2022-12-18 10:49,스쿠버다이빙 왜 함??아바타보면 되는데,dydw****
7,2022-12-24 08:52,전작에 비해 서사가 너무 부실합니다,timi****
10,2022-12-14 12:17,방금 4DX 3D로 봤습니다. 꼭 3D로 보세요. 역시는 역시다. 3편 찍어놨다는데 개봉해 주세요. 언능!!!,pooh****
6,2022-12-15 09:15,진부하고 단순한 이야기... 아바타1 이후로 많은 시간이 흘렀지만 CG이외에 모든 것들은 과거에 멈춰있는 것 같다.영상미는 최고,dgbi****
8,2022-12-15 04:08,시각적으로는 훌륭하지만 스토리가 아쉽긴 하다. 설리의 가족들이 한동안 몸담았던 고향을 너무 쉽게 떠나고 마지막에 바다를 고향으로 삼게 되는 개연성이 부족하게 느껴졌다.,jwlt****
6,2022-12-25 12:49,1이 더 재미났어요. 볼거리는 많았는데쓸데없는 장면이 많아서 지루한 구간이 많았어요. . . 시간을 좀 줄여도될것같아요,gree****
10,2022-12-15 05:37,거대한 자연과 문화 그리고 타인과의 교감으로 깨우치는 가치는 가족의 소중함이며 어떤 고난과 역경이 닥칠때 가족은 위대한 힘을 발휘한다는 것을 깨닫게 된다.가족에 방점이 찍힌 홈드라마 그리고 돌비로 보니 시각적 신세계에 감탄하고 황홀하다.,jsa1****
6,2022-12-19 15:22,"오줌보를 참아야 지나갈 수 있는 길, 물의 길.",namu****
10,2022-12-14 12:56,그냥 미침 꼭 3d로 보고 화장실 컨트롤 꼭 하시길 한순간도 놓치면 안됨,eyec****
6,2022-12-15 12:55,영상미만 엄청난 영화... 중간에 몇번 졸은..?감동두 액션도 스토리도 별루인...,ljm7****
9,2022-12-14 23:51,전편과 비교해서 스토리 전개가 조금 지루한 느낌입니다.190분의 시간이 지루함없이 지나갔다는 느낌은 아니였어요...하지만 전작에비해 너무 아름다운 영상미가 돋보이고 감동적이였네요 극장에서 꼭 3D로 보시길 추천드려요,love****
10,2022-12-14 16:12,미친 퀄리티...보는 내내 감탄하며 봤음 영화관에서 봐야하는 영화,tndh****
9,2022-12-24 23:32,"아바타1 때는 결혼안한 청년이었고, 13년이 지나 아바타2를 보는 나는 어느새 아이 둘의 아빠가 되었고, 그래서인지 설리의 시간과 함께 했던 거 같고, 가족을 향한 메시지는 더더욱 와닿았다.. 오랜 시간 후의 속편도 꼭 나쁜 것은 아닌 거 같다..",jesu****
10,2022-12-18 09:00,이 미친 영상미는 극장에서 꼭 경험해야만한다.진짜 수중세계의 비주얼이 압권이다.아름답고 아름답고 또 아름다운 영화.,yena****
8,2022-12-14 12:31,후반이 좀 지루함. 스토리 여기서 더가는건 뇌절같은데.. 3.4.5 한다며? 걱정된다,saac****
10,2022-12-17 12:03,요즘 영화티켓값이 천정부지인데 되려 가성비 좋다고 느낄 정도의 영화. 꼭 3D로 볼 것. 스토리는 평이했지만 새로운 바다 속 광경은 끝내줬음. 다 커서 본 영화 중에 거의 유일하게 끝나고 박수 친 영화. 한국 코미디 영화도 재밌고 좋지만 그런 영화보고 웃고 감동받았던 내자신이 조금 부끄러워 질 정도. 13년 기다림이 아깝지 않은 영화. 강추합니다. 꼭 보세요.,pej0****
6,2022-12-24 17:24,시계만 20번은 본 듯. 졸려,isla****
10,2022-12-14 18:23,3D 영화 중 역대급 선명함이네요. 꼭 돌비관에서 감상하세요. 대세는 돌비시네마입니다.,misy****
10,2022-12-14 23:28,3시간이 후딱지나갔네,ohjs****
10,2022-12-15 21:07,아바타1 이랑 cg를 비교해보겠다던 나의 어리석은 생각,akir****
5,2022-12-25 23:14,A가 납치되면 B가 들어가고 다시 C가 들어가고A가나오면 다시들어가고제대로된 스토리가 없다,ght3****
10,2022-12-17 21:01,두 번 봤는데도 여전히 물 CG는 신기함을 넘어 경이로울 지경. 도대체 어떻게 만든건지 상상조차 되지 않는다.,ewai****
10,2022-12-14 12:11,레전드의 귀환 .  영상미 지립니다,nain****
10,2022-12-16 11:30,솔직히 이 영화를 보면서 그리고 끝나고나서도 느낀건 영화를 보고 온 느낌보다 마침 환상적인 꿈을꾸고 영화속의 나오는 세계를 3시간 좀 넘는 시간동안 여행을 하고 온 느낌이 강하게 들었던건 <아바타2>를 본 관객들이라면 똑같은 생각을 할것같다.,jeje****
10,2022-12-14 14:59,I see you.                                                                        나는 당신을 봅니다.,ang_****
10,2022-12-14 10:14,"제임스 카메론이 이제껏 그의 2에서 '실망'이란 단어를 준 적이 있던가? 에일리언2, 터미네이터2, 아바타2! 게임 셋!",pine****
10,2022-12-14 12:37,시각효과의 끝판왕...,blue****
10,2022-12-15 16:04,"세시간동안 전혀 지루함 못 느낌. 서사, 볼거리, 메시지 등 다 최고입니다",00mi****
7,2022-12-14 23:23,영상미 하나는 진짜 최고인 아바타. 지난 1편보다 다소 약한 액션씬바다/물 CG 처리는 정말 최고인데... 감독의 욕심이 너무 긴 영화시간을 만들어서 그게 참 아쉽다.,msh1****
4,2022-12-20 15:06,영상미 하나로 밀어붙이기엔 한계가 있음 13년전과 지금 관객 수준은 엄연히 다름 획기적인거 하나만 넣었어도 달랐을텐데 너무 아쉬움 해양생물 만드느라 시간이 그렇게 오래걸린건가,jung****
8,2022-12-14 11:21,2시간짜리 자연다큐와 1시간짜리 영화,zzkh****
6,2022-12-15 22:15,솔직히 한시간 정도는 덜어내도 충분할것같았음,wtcl****
8,2022-12-15 14:27,그러게요내용이없내요,kimb****
5,2022-12-14 18:51,"3시간이나 시간중에 덜 중요한 장면을 잘라내거나, 쓸데없이 시간잡아먹는 씬을 줄였다면 좀 덜 지루하게 봤을거같습니다. 마지막쯤에 진짜 가뜩이나 지루한데 굳이 이걸보고 있어야하나 싶었거든요.",vkdk****
10,2022-12-15 21:51,IMAX로 봐야 돈값 하는 영화,anot****
2,2022-12-23 12:33,와.... 개노잼... 스토리 진행방식이 너무 허접하고 개연성도 없이 스토리가 진행됨.제이크 설리는 자기 가족 지키겠다고 원래 부족을 떠났는데 결과는 남의 부족 마을을 다 뿌수는 결과를 만들어냄.그러고는 다시 떠난다고하네?ㅋㅋㅋ 어이가 없었음...,do01****
10,2022-12-14 13:03,일단 보세요그냥 보세요,qurt****
9,2022-12-14 23:46,진짜 미친 개쩌는 게임 영상을 본 느낌,bobo****
7,2022-12-17 17:36,영상미가 있다.영상미만 있다….,jayl****
10,2022-12-14 13:35,13년의기다림행복했다,tjdg****
8,2022-12-24 14:10,결국은 스토리가 중요하다는 걸 알려준다,jly4****
8,2022-12-14 22:26,이해 안되는 장면이 좀 있지만 영상미는 정말 예쁘네요,kiwo****
8,2022-12-19 00:02,개민폐가족 제이트 민폐,juan****
7,2022-12-21 17:40,1편에서 기술에 감동했지만 2편에서는 기술의 진보가 스토리의 미흡함을 커버할만큼은 아니었다. 각본은 1편보다 구려졌다. 납치와 구출의 반복,jung****
6,2022-12-24 19:25,"cg는 훌륭, 스토리는 글쎄..",cjs_****
8,2022-12-15 02:40,저는 1편이 더 좋았네요.지루함이 너무 큽니다,lds3****
10,2022-12-18 09:18,영화관의 필요성을 느낄수있다,ljb2****
10,2022-12-16 21:34,영상미도 미쳤는데 후반 액션 정말 잘만듦..,ljh2****
9,2022-12-14 17:42,영상미 10점 스토리 5점 어디 놀러간다 구경간다 생각하고 보면 엄청 재미있어요. 2편인데 1편보다 스케일이 많이 작아요.,ansg****
10,2022-12-17 14:07,1은 혼자서 2는 아이와 같이 봤네요.진짜 감동적이었습니다.,zm19****
8,2022-12-16 14:01,영상미는 좋았으나 스토리가 뻔해서 긴장감이 떨어져서 그런가 조조라서 피곤해서 그런가 졸면서 봤네요,dili****
4,2022-12-24 23:47,영상미 좋음 하지만 상향 평준화로 영상미의 가치는 떨어졌다. 스토리 전개는 별로다. 3시간 중 지루하기 짝이 없다. 스토리의 개연성이 떨어지고 왜 혼난 후 가치는 알겠다만 똑같은 연출의 반복이다.,kim5****
7,2022-12-14 17:34,"바다와 특이한 바다 생물들을 아름답게 담은 영상미는 더 할 나위 없이 좋았다. 하지만, 아름다운 CG만으로는 3시간이 넘는 시간 동안 지루하게 이어지는 진부하고 빈틈 많은 이야기의 틈을 채울 수 없음",osan****
10,2022-12-15 19:28,아바타 3시간이 너무 짧았다고 생각할 정도로연출 및 영상미 너무 압도되었습니다..왜 영화관이 존재해야하는지 느끼게 해준 영화,gang****
9,2022-12-15 12:41,"아바타 시즌 3을 위한 빌드업 때문인지 스토리는 평범했고, CG팀을 갈아넣은 비주얼을 보고 감탄 했습니다.",cdcd****
7,2022-12-24 06:03,개봉일날 봤었는데스토리는 루즈하고 영상미는 최고임잘 만든 다큐 보는 느낌?,choh****
9,2022-12-14 21:20,마지막 1점은 확장판이나 감독판을 위해 남겨두겠습니다. 영상미는 정말 경이롭고 압도적이며 황홀한 경험입니다.근데 서사는 1편보다 퇴보한게 아쉽습니다.약간 3편에서 뻥 터트리려고 일부러 빌드업 해나가는건가 싶기도 하고요.그래도 이 경험은 정말 시간과 돈이 안 아깝습니다. 꼭 경험하십시오,fran****
10,2022-12-18 19:27,사실 특별한 스토리 보다는 판도라 행성을 체험하고 온 듯한 기분이 들었다. 1편이 땅위의 세계를 본 거였다면 2편은 물의 세계를 구경하는 내용이 주를 이룬다. 관람 하는 내내 눈이 너무 황홀해서 그것만으로도 10점 만점중에 9.5점을 주었다ㅋ,jick****
10,2022-12-17 21:20,I SEE YOU....,kimj****
10,2022-12-14 23:08,진짜 이건 무조건 극장이 답이다 정말 감동적인 비쥬얼 ㅜ 아바타가 아바타했음...,shna****
8,2022-12-23 16:30,"시각적 효과는 볼만하나, 내용이 너무 진부함.",ffre****
10,2022-12-17 23:32,인간의 잔인함과 지혜를 동시에 볼수 있는 영화였습니다. 너무 재미있었고 한편으로는 많은 생각을 갖게 해주는 좋은 영화라고 생각합니다. 이런 영화는 정말 영화관에서 봐야합니다,ukie****
10,2022-12-18 01:17,CG로 봐야만 하는 명작 진짜 제작비가 어디에 쓰였는지 직관적으로 알수 있는 작품. 이작품을 보니 마블 최근 영화들의 CG수준이 진짜 바닥인걸 알게 해준다,htwo****
9,2022-12-14 23:20,영상미는 만점이지만 스토리는 실망스러움,rene****
10,2022-12-15 21:01,이건 깔수가 없다 ㅋㅋㅋㅋ,ssyb****
9,2022-12-17 01:21,영상은 대단한데 만점 주기에는 지루함이 존재함,pdhb****
9,2022-12-18 21:27,13년만에 돌아왔지만 13년동안 어떤 영화도 줄 수 없는 아바타만의 영화가 무엇인지 보여줌,evio****
10,2022-12-14 21:31,영화 보는 내내 너무 황홀했습니다영상미가 단연 압권이었는데 이런 영화를 극장에서 볼 수 있어서 너무 행복했어요,07_1****
10,2022-12-14 13:25,영상미 대박스토리 대박3시간 대박...,emun****
10,2022-12-15 23:27,이어 나올 속편들에는 어떤 생물들이 나올지 기대되는 스케일,pixo****
10,2022-12-14 15:14,영상미 미쳤다 3시간 순삭…13년동안 기다린 보람이 있음ㅠㅠㅠ 한번 더 보고싶을정도,qkrw****
10,2022-12-14 12:56,가족과 함께 볼수있는영화,rbfl****
10,2022-12-17 17:34,영화관이 존재하는 이유,iams****
10,2022-12-15 11:13,오랫동안 기다린 보람이 있는 영화. 너무 영상미가 뛰어나요,prim****
10,2022-12-15 14:39,진짜 이 영화는 꼭 영화관에서 봐야함. 영상미가 그냥 화면을 찢었다.,skdu****
10,2022-12-14 15:13,우주와 바다를 그리는 장면의 CG를 보며 CG의 엄청난 발전함을 알 수 있었다. 스토리가 다소 아쉽고 새로운 캐릭터의 매력은 떨어지나 그 이상으로 영상미는 최고이고 재미있다. 충분히 돈 내고 볼 만한 가치가 있는 영화이다.,chun****
10,2022-12-17 13:35,3시간이라 걱정했는데 전혀 지루하지 않고 영상미가 진짜 화려함,jjw4****
10,2022-12-15 16:10,스토리는 1편과 별다른 차이가 없는데 다른 차이점이 바로 3D가 주는 현장감입니다. 쉽게 말해 내셔널 지오그래픽 다큐를 관객이 눈 앞에서 직접 촬영하는 수준이라고 할까요? 암튼 이번 작품은 무조건 3D로 봐야합니다. 명심하세요.그리고 대전 사시는분들은 반드시 신세계백화점 메가박스 돌비시네마로 보세요.스크린  사이즈도 압도적이고 사운드 또한 미친 수준입니다. 그리고 안경 닦이 헝겁 챙겨가면 좋아요. (전 없어서 약간 뿌옇게 감상했네요.)결론 : 일반관이 아닌 특별관 3D로 관람할 것,jisa****
10,2022-12-15 08:36,너무너무좋았어요~3시간이길지않아요몰입감최고바로3편이나오면좋을텐데,k02s****
